回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1288,A,8,9,19,24,35,43,11,4：2,138,5：2,149
1289,B,6,9,16,24,29,37,3,3：3,121,4：3,124
1290,E,18,24,27,32,35,41,10,3：3,177,3：4,187
1291,D,2,6,8,12,13,17,1,2：4,58,3：4,59
1292,J,1,18,29,30,31,37,35,4：2,146,5：2,181
1293,H,2,5,15,27,30,35,11,4：2,114,5：2,125
1294,B,7,14,18,26,28,39,2,2：4,132,2：5,134
1295,H,14,23,31,37,39,43,32,5：1,187,5：2,219
1296,C,5,11,15,16,23,32,4,4：2,102,4：3,106
1297,A,1,2,7,29,34,42,41,3：3,115,4：3,156
1298,F,4,6,15,22,30,42,7,1：5,119,2：5,126
1299,G,3,12,24,28,38,39,10,2：4,144,2：5,154
1300,I,3,18,25,26,32,33,27,3：3,137,4：3,164
1301,J,6,7,9,16,30,41,22,3：3,109,3：4,131
1302,H,4,7,25,30,34,43,38,3：3,143,3：4,181
1303,J,7,10,24,33,35,42,43,3：3,151,4：3,194
1304,E,6,25,30,38,40,42,17,1：5,181,2：5,198
1305,B,4,6,19,36,38,40,28,1：5,143,1：6,171
1306,D,7,11,23,36,38,41,37,4：2,156,5：2,193
1307,C,6,25,27,28,30,43,14,3：3,159,3：4,173
1308,F,6,9,10,15,34,39,3,3：3,113,4：3,116
1309,A,24,32,34,36,41,43,23,2：4,210,3：4,233
1310,G,9,24,25,27,34,36,14,3：3,155,3：4,169
1311,I,12,23,26,29,36,37,15,3：3,163,4：3,178
1312,B,13,24,25,26,32,39,6,3：3,159,3：4,165
1313,F,5,12,21,31,36,43,27,4：2,148,5：2,175
1314,E,3,10,20,21,27,33,39,4：2,114,5：2,153
1315,H,3,8,23,30,32,40,31,2：4,136,3：4,167
1316,C,6,16,26,35,36,39,14,2：4,158,2：5,172
1317,J,6,10,13,19,32,43,22,3：3,123,3：4,145
1318,A,2,3,7,14,19,41,34,4：2,86,4：3,120
1319,D,9,10,19,21,28,30,43,3：3,117,4：3,160
1320,G,4,6,12,16,17,34,28,1：5,89,1：6,117
1321,E,10,24,31,40,41,43,33,3：3,189,4：3,222
1322,C,2,3,13,28,32,37,7,3：3,115,4：3,122
1323,F,5,6,10,24,29,40,26,2：4,114,2：5,140
1324,I,1,7,8,17,25,42,11,4：2,100,5：2,111
1325,H,8,18,23,26,33,38,34,2：4,146,2：5,180
1326,B,2,3,9,12,30,41,21,3：3,97,4：3,118
1327,J,2,3,13,22,23,30,27,3：3,93,4：3,120
1328,A,7,9,23,32,37,40,41,4：2,148,5：2,189
1329,D,11,15,18,22,37,42,31,3：3,145,4：3,176
1330,G,2,19,24,32,36,43,30,2：4,156,2：5,186
1331,C,2,14,30,31,38,39,26,2：4,154,2：5,180
1332,E,5,15,18,22,33,40,6,3：3,133,3：4,139
1333,A,2,9,15,22,26,35,5,3：3,109,4：3,114
1334,I,1,2,7,14,29,43,40,4：2,96,4：3,136
1335,F,10,16,19,34,35,39,4,3：3,153,3：4,157
1336,H,4,5,11,19,31,34,43,4：2,104,5：2,147
1337,J,3,6,21,28,29,34,15,3：3,121,4：3,136
1338,B,2,6,23,25,30,31,35,3：3,117,4：3,152
1339,D,1,10,15,33,34,42,39,3：3,135,4：3,174
1340,G,6,15,18,20,26,29,9,2：4,114,3：4,123
1341,A,9,12,15,16,26,39,34,3：3,117,3：4,151
1342,F,1,4,9,16,23,31,42,4：2,84,4：3,126
1343,E,2,8,10,12,19,23,16,2：4,74,2：5,90
1344,J,8,16,20,28,37,43,29,2：4,152,3：4,181
1345,A,1,15,26,27,29,33,18,5：1,131,5：2,149
1346,C,5,10,22,27,38,42,36,2：4,144,2：5,180
1347,I,8,10,11,18,36,43,7,2：4,126,3：4,133
1348,H,1,2,14,19,21,33,43,4：2,90,5：2,133
1349,G,2,16,19,32,34,42,33,1：5,145,2：5,178
1350,J,7,8,9,10,20,38,16,2：4,92,2：5,108
1351,C,8,14,18,22,28,29,5,1：5,119,2：5,124
1352,B,5,6,9,15,19,36,22,4：2,90,4：3,112
1353,E,2,11,12,19,21,24,36,3：3,89,3：4,125
1354,A,4,25,27,28,32,41,26,3：3,157,3：4,183
1355,D,5,15,27,29,34,37,12,5：1,147,5：2,159
1356,I,4,6,10,16,24,43,12,1：5,103,1：6,115
1357,F,2,3,8,15,19,28,21,3：3,75,4：3,96
1358,B,9,15,23,27,29,40,28,5：1,143,5：2,171
1359,H,6,8,14,18,25,41,9,2：4,112,3：4,121
1360,J,4,9,10,16,17,42,23,2：4,98,3：4,121
1361,G,3,4,12,18,28,38,32,1：5,103,1：6,135
1362,C,8,16,19,28,36,39,1,2：4,146,3：4,147
1363,G,2,5,23,36,37,41,43,4：2,144,5：2,187
1364,E,5,13,14,16,25,27,3,4：2,100,5：2,103
1365,B,4,7,14,20,31,41,32,3：3,117,3：4,149
1366,D,14,15,17,29,31,39,10,5：1,145,5：2,155
1367,A,3,8,11,14,22,41,34,3：3,99,3：4,133
1368,I,6,11,17,20,34,35,10,3：3,123,3：4,133
1369,C,12,15,25,32,41,43,7,4：2,168,5：2,175
1370,F,8,22,24,30,40,41,2,1：5,165,1：6,167
1371,C,4,5,6,7,24,28,30,2：4,74,2：5,104
1372,H,3,5,10,21,33,39,8,5：1,111,5：2,119
1373,J,1,10,13,18,20,41,11,3：3,103,4：3,114
1374,G,1,4,5,19,23,35,36,5：1,87,5：2,123
1375,E,2,5,21,22,31,38,28,3：3,119,3：4,147
1376,B,2,5,22,31,32,43,27,3：3,135,4：3,162
1377,E,1,7,13,24,40,43,20,4：2,128,4：3,148
1378,D,1,10,15,24,35,43,9,4：2,128,5：2,137
1379,A,1,2,19,21,24,37,32,4：2,104,4：3,136
1380,I,1,3,24,26,29,33,42,4：2,116,4：3,158
1381,C,2,4,5,16,19,38,25,2：4,84,3：4,109
1382,F,8,9,12,25,26,28,32,2：4,108,2：5,140
1383,A,2,4,9,15,18,39,24,3：3,87,3：4,111
1384,H,3,6,13,32,38,43,40,3：3,135,3：4,175
1385,J,9,20,28,35,41,43,23,4：2,176,5：2,199
1386,B,4,11,14,15,20,38,35,2：4,102,3：4,137
1387,J,11,27,29,30,37,38,33,4：2,172,5：2,205
1388,H,9,10,12,15,29,37,11,4：2,112,5：2,123
1389,E,6,16,21,23,26,42,43,2：4,134,3：4,177
1390,D,10,11,13,28,34,39,35,3：3,135,4：3,170
1391,B,3,12,23,31,36,42,43,3：3,147,4：3,190
1392,G,6,9,12,19,40,42,7,2：4,128,3：4,135
1393,I,7,11,26,32,42,43,24,3：3,161,3：4,185
1394,A,8,9,35,36,42,43,22,3：3,173,3：4,195
1395,C,5,16,18,27,30,43,25,3：3,139,4：3,164
1396,F,3,7,11,15,23,41,21,6：0,100,7：0,121
1397,G,9,18,19,21,25,26,7,4：2,118,5：2,125
1398,J,23,29,34,35,40,43,42,4：2,204,4：3,246
1399,A,7,20,21,33,41,43,8,5：1,165,5：2,173
1400,E,8,10,26,31,34,39,36,2：4,148,2：5,184
1401,H,2,13,23,24,25,33,36,4：2,120,4：3,156
1402,C,10,24,26,33,36,42,28,1：5,171,1：6,199
1403,I,1,3,10,27,34,41,22,4：2,116,4：3,138
1404,D,2,17,29,37,38,39,5,4：2,162,5：2,167
1405,A,3,4,6,19,23,24,42,3：3,79,3：4,121
1406,F,20,24,27,29,34,35,43,3：3,169,4：3,212
1407,B,10,13,19,28,33,39,15,4：2,142,5：2,157
1408,G,2,17,24,26,34,43,32,2：4,146,2：5,178
1409,J,5,6,8,20,22,25,13,2：4,86,3：4,99
1410,E,8,14,17,25,36,41,23,3：3,141,4：3,164
1411,C,2,5,7,20,25,28,3,3：3,87,4：3,90
1412,H,2,19,24,25,32,42,8,2：4,144,2：5,152
1413,I,7,13,17,21,24,26,12,4：2,108,4：3,120
1414,D,12,19,21,26,40,41,20,3：3,159,3：4,179
1415,F,1,3,7,34,39,40,33,4：2,124,5：2,157
1416,D,2,9,10,15,24,36,13,2：4,96,3：4,109
1417,I,3,10,25,26,27,31,5,4：2,122,5：2,127
1418,A,4,21,32,35,42,43,15,3：3,177,4：3,192
1419,H,5,10,11,12,21,37,41,4：2,96,5：2,137
1420,E,1,2,14,16,22,28,4,1：5,83,1：6,87
1421,F,2,14,20,23,37,43,30,3：3,139,3：4,169
1422,D,12,14,17,20,24,30,39,1：5,117,2：5,156
1423,B,11,24,29,36,37,42,13,3：3,179,4：3,192
1424,G,6,7,25,26,33,36,19,3：3,133,4：3,152
1425,J,1,24,28,33,35,42,27,3：3,163,4：3,190
1426,C,4,13,17,19,30,43,24,4：2,126,4：3,150
1427,C,1,7,25,26,38,41,31,4：2,138,5：2,169
1428,I,16,18,19,34,35,36,6,2：4,158,2：5,164
1429,F,4,8,13,18,21,23,22,3：3,87,3：4,109
1430,D,4,7,9,12,20,28,3,2：4,80,3：4,83
1431,E,2,27,28,33,38,40,30,2：4,168,2：5,198
1432,J,4,5,15,32,33,43,13,4：2,132,5：2,145
1433,H,3,5,12,16,38,42,6,2：4,116,2：5,122
1434,A,2,20,30,38,39,40,4,1：5,169,1：6,173
1435,B,2,4,16,21,22,40,9,1：5,105,2：5,114
1436,C,3,7,17,18,30,36,33,3：3,111,4：3,144
1437,A,3,11,24,25,37,40,14,4：2,140,4：3,154
1438,G,2,5,6,20,33,38,22,2：4,104,2：5,126
1439,I,11,17,23,28,34,41,4,4：2,154,4：3,158
1440,F,1,7,20,31,41,42,28,4：2,142,4：3,170
1441,E,12,22,24,33,35,42,36,2：4,168,2：5,204
1442,B,12,21,35,36,40,43,39,3：3,187,4：3,226
1443,D,2,4,8,10,22,33,28,1：5,79,1：6,107
1444,J,11,20,24,25,30,37,14,3：3,147,3：4,161
1445,H,3,14,24,29,30,42,21,2：4,142,3：4,163
1446,C,2,5,11,20,21,32,13,3：3,91,4：3,104
1447,E,2,9,12,13,14,22,10,2：4,72,2：5,82
1448,A,10,12,25,29,32,41,40,3：3,149,3：4,189
1449,G,6,19,20,26,34,38,4,1：5,143,1：6,147
1450,I,24,25,26,27,34,36,3,2：4,172,3：4,175
1451,C,2,6,10,20,24,43,34,1：5,105,1：6,139
1452,F,17,19,29,31,37,39,35,6：0,172,7：0,207
1453,B,10,22,26,27,28,41,39,2：4,154,3：4,193
1454,A,3,15,19,34,37,40,41,4：2,148,5：2,189
1455,D,1,10,12,22,34,43,23,2：4,122,3：4,145
1456,J,2,18,19,24,29,31,33,3：3,123,4：3,156
1457,G,1,3,11,17,20,37,29,5：1,89,6：1,118
1458,H,4,16,19,22,26,29,6,2：4,116,2：5,122
1459,E,2,17,19,24,28,29,7,3：3,119,4：3,126
1460,I,3,6,10,15,29,30,4,3：3,93,3：4,97
1461,C,5,7,8,18,22,26,24,2：4,86,2：5,110
1462,F,4,18,19,28,33,36,9,2：4,138,3：4,147
1463,E,18,29,32,34,35,39,36,3：3,187,3：4,223
1464,B,8,13,14,18,29,31,23,3：3,113,4：3,136
1465,A,11,15,16,24,28,38,3,2：4,132,3：4,135
1466,G,6,10,15,18,32,40,35,1：5,121,2：5,156
1467,I,3,14,16,25,26,38,7,2：4,122,3：4,129
1468,D,4,8,15,24,25,31,26,3：3,107,3：4,133
1469,E,4,9,10,13,24,27,22,3：3,87,3：4,109
1470,J,4,8,14,16,39,40,23,1：5,121,2：5,144
1471,G,1,3,8,32,37,43,24,4：2,124,4：3,148
1472,H,1,6,7,9,23,40,43,4：2,86,5：2,129
1473,C,1,5,6,27,33,38,11,4：2,110,5：2,121
1474,F,4,6,8,22,27,32,26,1：5,99,1：6,125
