回,セット球,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス,奇数偶数(本),合計(本),奇数偶数(全),合計(全)
1,A,2,8,10,13,27,30,39,2：4,90,3：4,129
2,G,1,9,16,20,21,43,5,4：2,110,5：2,115
3,C,1,5,15,31,36,38,13,4：2,126,5：2,139
4,H,16,18,26,27,34,40,13,1：5,161,2：5,174
5,F,9,15,21,23,27,28,43,5：1,123,6：1,166
6,I,6,12,23,25,28,38,22,2：4,132,2：5,154
7,E,7,19,21,23,33,35,26,6：0,138,6：1,164
8,B,11,16,18,20,42,43,28,2：4,150,2：5,178
9,C,11,19,23,38,39,42,15,4：2,172,5：2,187
10,J,1,3,19,21,35,39,26,6：0,118,6：1,144
11,D,12,26,32,37,40,42,16,1：5,189,1：6,205
12,E,14,17,27,28,35,39,22,4：2,160,4：3,182
13,H,13,29,31,37,41,42,17,5：1,193,6：1,210
14,F,2,8,11,35,37,38,43,3：3,131,4：3,174
15,I,4,6,11,20,21,28,36,2：4,90,2：5,126
16,A,5,12,13,29,34,35,30,4：2,128,4：3,158
17,G,14,20,25,34,35,36,11,2：4,164,3：4,175
18,H,6,16,18,27,36,41,33,2：4,144,3：4,177
19,B,4,8,12,30,33,43,14,2：4,130,2：5,144
20,D,7,29,33,35,37,39,19,6：0,180,7：0,199
21,C,5,7,13,19,38,41,42,5：1,123,5：2,165
22,J,8,12,16,19,20,35,41,2：4,110,3：4,151
23,G,7,10,28,32,33,40,13,2：4,150,3：4,163
24,C,15,18,19,30,36,38,13,2：4,156,3：4,169
25,E,11,32,34,37,40,43,8,3：3,197,3：4,205
26,G,3,4,11,12,13,43,22,4：2,86,4：3,108
27,A,4,8,20,30,33,38,10,1：5,133,1：6,143
28,F,6,11,15,20,31,41,7,4：2,124,5：2,131
29,I,8,12,20,35,37,40,33,2：4,152,3：4,185
30,B,4,16,17,19,26,37,8,3：3,119,3：4,127
31,J,7,18,22,25,28,43,4,3：3,143,3：4,147
32,H,3,6,7,23,29,41,33,5：1,109,6：1,142
33,C,8,17,22,25,29,41,13,4：2,142,5：2,155
34,D,2,20,25,30,37,40,10,2：4,154,2：5,164
35,E,3,5,13,30,32,41,28,4：2,124,4：3,152
36,A,1,16,20,23,30,40,17,2：4,130,3：4,147
37,G,3,5,9,17,21,41,26,6：0,96,6：1,122
38,F,2,9,26,27,34,43,42,3：3,141,3：4,183
39,C,10,18,22,25,39,42,17,2：4,156,3：4,173
40,H,5,17,25,34,38,39,2,4：2,158,4：3,160
41,I,18,21,27,33,36,38,23,3：3,173,4：3,196
42,H,4,15,21,24,33,37,9,4：2,134,5：2,143
43,B,1,2,3,15,24,26,27,3：3,71,4：3,98
44,D,3,16,24,31,34,42,36,2：4,150,2：5,186
45,J,7,9,28,32,36,38,8,2：4,150,2：5,158
46,A,11,14,21,24,25,42,41,3：3,137,4：3,178
47,F,3,11,14,25,27,31,22,5：1,111,5：2,133
48,J,2,5,28,30,33,40,26,2：4,138,2：5,164
49,H,2,13,21,31,32,41,35,4：2,140,5：2,175
50,G,5,13,15,25,27,39,40,6：0,124,6：1,164
51,F,7,15,24,37,38,41,34,4：2,162,4：3,196
52,I,1,16,24,25,36,42,21,2：4,144,3：4,165
53,C,2,15,23,37,40,43,25,4：2,160,5：2,185
54,A,14,25,26,31,37,42,7,3：3,175,4：3,182
55,B,11,12,13,14,37,39,28,4：2,126,4：3,154
56,D,10,13,25,31,32,42,40,3：3,153,3：4,193
57,E,2,14,22,27,35,42,34,2：4,142,2：5,176
58,H,4,8,9,13,16,25,28,3：3,75,3：4,103
59,J,9,15,17,30,32,41,31,4：2,144,5：2,175
60,F,20,21,23,28,30,42,29,2：4,164,3：4,193
61,A,4,8,22,25,27,28,6,2：4,114,2：5,120
62,G,2,3,9,12,15,30,42,3：3,71,3：4,113
63,C,11,16,20,28,34,40,22,1：5,149,1：6,171
64,J,2,14,19,22,32,41,9,2：4,130,3：4,139
65,I,2,10,22,23,31,43,28,3：3,131,3：4,159
66,A,7,15,17,30,33,35,14,5：1,137,5：2,151
67,B,1,4,6,11,18,25,3,3：3,65,4：3,68
68,D,16,23,30,35,37,39,38,4：2,180,4：3,218
69,J,1,9,31,35,40,41,14,5：1,157,5：2,171
70,E,6,11,20,23,24,31,17,3：3,115,4：3,132
71,C,1,10,11,13,19,20,3,4：2,74,5：2,77
72,H,10,12,24,29,33,37,34,3：3,145,3：4,179
73,A,1,6,15,19,27,36,25,4：2,104,5：2,129
74,F,3,14,27,28,40,43,39,3：3,155,4：3,194
75,B,2,4,9,19,23,31,18,4：2,88,4：3,106
76,F,1,10,12,16,20,35,29,2：4,94,3：4,123
77,I,5,10,15,28,37,38,13,3：3,133,4：3,146
78,H,5,14,23,32,33,43,37,4：2,150,5：2,187
79,G,20,22,27,32,36,43,23,2：4,180,3：4,203
80,A,1,4,12,16,19,34,18,2：4,86,2：5,104
81,J,1,11,15,23,26,27,41,5：1,103,6：1,144
82,E,10,12,19,25,26,39,28,3：3,131,3：4,159
83,F,1,16,21,28,35,37,30,4：2,138,4：3,168
84,D,17,19,26,28,35,37,40,4：2,162,4：3,202
85,I,5,13,18,22,23,32,28,3：3,113,3：4,141
86,A,3,7,16,24,29,36,26,3：3,115,3：4,141
87,C,3,8,12,36,39,41,10,3：3,139,3：4,149
88,F,5,6,8,20,21,26,30,2：4,86,2：5,116
89,H,3,13,23,30,35,43,21,5：1,147,6：1,168
90,B,13,15,17,18,30,32,9,3：3,125,4：3,134
91,E,13,15,17,26,41,43,6,5：1,155,5：2,161
92,H,5,17,20,24,28,40,16,2：4,134,2：5,150
93,C,10,23,33,36,37,41,28,4：2,180,4：3,208
94,B,11,16,17,18,29,40,9,3：3,131,4：3,140
95,F,2,3,12,15,25,27,33,4：2,84,5：2,117
96,C,1,13,15,34,36,43,37,4：2,142,5：2,179
97,E,4,10,17,34,35,42,43,2：4,142,3：4,185
98,A,7,16,34,37,38,39,8,3：3,171,3：4,179
99,F,5,9,12,28,29,39,27,4：2,122,5：2,149
100,J,6,8,11,14,31,33,23,3：3,103,4：3,126
101,A,21,27,29,30,36,40,23,3：3,183,4：3,206
102,D,4,5,18,27,35,36,41,3：3,125,4：3,166
103,B,1,16,17,27,29,34,39,4：2,124,5：2,163
104,G,1,11,17,26,28,35,12,4：2,118,4：3,130
105,E,1,9,14,22,25,34,18,3：3,105,3：4,123
106,C,8,11,21,22,25,27,26,4：2,114,4：3,140
107,I,4,5,11,12,28,32,37,2：4,92,3：4,129
108,D,9,22,23,25,34,37,8,4：2,150,4：3,158
109,A,2,5,12,18,30,41,24,2：4,108,2：5,132
110,E,5,6,8,19,37,41,9,4：2,116,5：2,125
111,H,11,15,21,31,32,43,24,5：1,153,5：2,177
112,D,16,18,23,25,29,30,41,3：3,141,4：3,182
113,B,3,17,27,29,30,42,6,4：2,148,4：3,154
114,H,7,13,14,29,38,42,9,3：3,143,4：3,152
115,E,8,9,11,27,37,39,18,5：1,131,5：2,149
116,J,8,10,15,16,26,31,42,2：4,106,2：5,148
117,F,5,7,19,20,38,43,4,4：2,132,4：3,136
118,D,9,13,21,30,32,37,20,4：2,142,4：3,162
119,H,3,4,11,12,15,30,17,3：3,75,4：3,92
120,C,15,18,22,25,36,40,14,2：4,156,2：5,170
121,E,3,8,10,22,28,41,35,2：4,112,3：4,147
122,B,19,20,21,25,33,42,41,4：2,160,5：2,201
123,G,14,21,26,28,29,31,8,3：3,149,3：4,157
124,C,4,17,23,30,39,40,28,3：3,153,3：4,181
125,I,11,15,19,30,36,41,10,4：2,152,4：3,162
126,A,5,6,9,10,21,38,20,3：3,89,3：4,109
127,F,14,16,21,26,37,40,3,2：4,154,3：4,157
128,D,6,10,18,20,29,39,21,2：4,122,3：4,143
129,G,6,18,25,26,30,42,24,1：5,147,1：6,171
130,B,22,30,31,34,38,39,2,2：4,194,2：5,196
131,H,6,30,33,34,40,43,1,2：4,186,3：4,187
132,A,3,18,23,31,32,37,1,4：2,144,5：2,145
133,C,17,24,26,35,40,41,16,3：3,183,3：4,199
134,E,2,6,11,14,18,19,21,2：4,70,3：4,91
135,I,7,13,30,33,35,36,11,4：2,154,5：2,165
136,F,3,13,26,31,32,39,1,4：2,144,5：2,145
137,J,10,13,20,22,25,42,14,2：4,132,2：5,146
138,B,7,9,10,16,23,29,18,4：2,94,4：3,112
139,D,10,21,22,28,37,41,12,3：3,159,3：4,171
140,H,17,19,29,37,39,40,10,5：1,181,5：2,191
141,F,8,9,14,24,32,39,30,2：4,126,2：5,156
142,G,2,16,22,27,29,39,38,3：3,135,3：4,173
143,A,17,21,22,27,33,41,43,5：1,161,6：1,204
144,G,1,16,19,33,38,41,43,4：2,148,5：2,191
145,I,1,4,10,21,23,38,7,3：3,97,4：3,104
